tconst,film,year_film,genres,averageRating,dir_won_before,budget,nb_actor_won_before,won_bafta,won_gg_drama,won_gg_comedy,winner,runtimeMinutes,predicted_winner,true_winner
tt4034228,manchesterbythesea,2016,Drama,7.8,0,8500000.0,0,0,0,0,0,137,0,0
tt4555426,darkesthour,2017,"Biography,Drama,History",7.4,0,30000000.0,0,0,0,0,0,125,0,0
tt4846340,hiddenfigures,2016,"Biography,Drama,History",7.8,0,25000000.0,1,0,0,0,0,127,0,0
tt4925292,ladybird,2017,"Comedy,Drama",7.4,0,10000000.0,0,0,0,1,0,94,0,0
tt4975722,moonlight,2016,Drama,7.4,0,1500000.0,0,0,1,0,1,111,0,1
tt5013056,dunkirk,2017,"Action,Drama,History",7.8,0,100000000.0,1,0,0,0,0,106,0,0
tt5027774,threebillboardsoutsideebbingmissouri,2017,"Comedy,Crime,Drama",8.1,0,12000000.0,1,1,1,0,0,115,1,0
tt5052448,getout,2017,"Horror,Mystery,Thriller",7.8,0,4500000.0,0,0,0,0,0,104,0,0
tt5083738,thefavourite,2018,"Biography,Comedy,Drama",7.5,0,,2,0,0,0,0,119,0,0
tt5363618,soundofmetal,2020,"Drama,Music",7.7,0,,0,0,0,0,0,120,0,0
tt5537002,killersoftheflowermoon,2023,"Crime,Drama,History",7.6,1,200000000.0,4,0,0,0,0,206,0,0
tt5580390,theshapeofwater,2017,"Drama,Fantasy,Romance",7.3,0,19500001.0,1,0,0,0,1,123,0,1
tt5726616,callmebyyourname,2017,"Drama,Romance",7.8,0,3500000.0,0,0,0,0,0,132,0,0
tt5776858,phantomthread,2017,"Drama,Romance",7.4,0,35000000.0,2,0,0,0,0,130,0,0
tt6155172,roma,2018,Drama,7.6,1,15000000.0,0,1,0,0,0,135,0,0
tt6266538,vice,2018,"Biography,Comedy,Drama",7.2,0,,2,0,0,0,0,132,0,0
tt6294822,thepost,2017,"Biography,Drama,History",7.2,1,,5,0,0,0,0,116,0,0
tt6710474,everythingeverywhereallatonce,2022,"Action,Adventure,Comedy",7.8,0,25000000.0,0,0,0,0,1,139,0,1
tt6751668,parasite,2019,"Drama,Thriller",8.5,0,13200000.0,0,0,0,0,1,132,0,1
tt6966692,greenbook,2018,"Biography,Comedy,Drama",8.2,0,23000000.0,1,0,0,1,1,130,1,1
tt7131622,onceuponatimeinhollywood,2019,"Comedy,Drama",7.6,0,,1,0,0,1,0,161,0,0
tt7160372,thezoneofinterest,2023,"Drama,History,War",7.3,0,,0,0,0,0,0,105,0,0
