tconst,film,year_film,genres,averageRating,dir_won_before,budget,nb_actor_won_before,won_bafta,won_gg_drama,won_gg_comedy,winner,runtimeMinutes
tt0061418,bonnieandclyde,1967,"Action,Biography,Crime",7.7,0,14.731801689838349,0,0,0,0,0,111
tt0061584,doctordolittle,1967,"Adventure,Comedy,Family",6.2,0,15.121911280656398,1,0,0,0,0,152
tt0061722,thegraduate,1967,"Comedy,Drama,Romance",8.0,1,15.121911280656398,1,1,0,1,0,106
tt0061735,guesswhoscomingtodinner,1967,"Comedy,Drama",7.8,0,15.121911280656398,4,0,0,0,0,108
tt0061811,intheheatofthenight,1967,"Drama,Mystery,Thriller",7.9,0,14.508658238524095,1,0,1,0,1,110
tt0062994,funnygirl,1968,"Biography,Comedy,Drama",7.4,1,16.46168542627038,0,0,0,0,0,151
tt0063227,thelioninwinter,1968,"Biography,Drama,History",7.8,0,15.944733954465462,2,0,1,0,0,134
tt0063385,oliver,1968,"Drama,Family,Musical",7.4,1,15.944733954465462,1,0,0,1,1,153
tt0063483,rachelrachel,1968,"Drama,Romance",7.1,0,15.944733954465462,2,0,0,0,0,101
tt0063518,romeoandjuliet,1968,"Drama,Romance",7.6,0,13.652992804936396,0,0,0,0,0,138
tt0064030,anneofthethousanddays,1969,"Biography,Drama,History",7.4,0,16.017584579935527,0,0,1,0,0,145
tt0064115,butchcassidyandthesundancekid,1969,"Biography,Crime,Drama",8.0,0,15.607270193858982,0,1,0,0,0,110
tt0064418,hellodolly,1969,"Adventure,Comedy,Musical",7.0,0,17.034386422832473,2,0,0,0,0,146
tt0064665,midnightcowboy,1969,Drama,7.8,1,16.017584579935527,0,1,0,0,1,113
tt0065234,z,1969,"Crime,Drama,Thriller",8.1,0,16.017584579935527,0,0,0,0,0,127
tt0065377,airport,1970,"Action,Drama,Thriller",6.6,0,16.118095750958314,4,0,0,0,0,137
tt0065724,fiveeasypieces,1970,Drama,7.4,0,14.285514812209815,0,0,0,0,0,98
tt0066011,lovestory,1970,"Drama,Romance",6.9,0,14.603968372873895,1,0,1,0,0,100
tt0066026,mash,1970,"Comedy,Drama,War",7.3,0,15.756647571807589,0,0,0,1,0,116
tt0066206,patton,1970,"Biography,Drama,War",7.9,1,16.349207451286784,1,0,0,0,1,172
tt0066921,aclockworkorange,1971,"Crime,Sci-Fi",8.2,0,14.603968372873895,0,0,0,0,0,136
tt0067093,fiddlerontheroof,1971,"Drama,Family,Musical",8.0,0,15.303910367754927,0,0,0,1,0,181
tt0067116,thefrenchconnection,1971,"Action,Crime,Drama",7.7,1,14.403297778421795,0,0,1,0,1,104
tt0067328,thelastpictureshow,1971,"Drama,Romance",8.0,0,14.077875591662238,0,0,0,0,0,118
tt0067483,nicholasandalexandra,1971,"Biography,Drama,History",7.2,1,15.303910367754927,0,0,0,0,0,183
tt0067919,theemigrants,1972,"Drama,History",8.0,0,15.206654501936173,0,0,0,0,0,151
tt0068327,cabaret,1972,"Drama,Music,Musical",7.8,1,15.341567078850604,0,1,0,1,0,124
tt0068473,deliverance,1972,"Adventure,Drama,Thriller",7.6,0,14.508658238524095,0,0,0,0,0,109
tt0068646,thegodfather,1972,"Crime,Drama",9.2,0,15.607270193858982,1,0,1,0,1,175
tt0069303,sounder,1972,"Drama,Family",7.5,0,15.206654501936173,0,0,0,0,0,105
tt0069467,criesandwhispers,1973,Drama,7.9,0,15.694594008094041,0,0,0,0,0,92
tt0069704,americangraffiti,1973,"Comedy,Drama",7.4,0,13.560619598657233,0,0,0,1,0,110
tt0070047,theexorcist,1973,Horror,8.1,1,16.300417291085605,0,0,1,0,0,122
tt0070735,thesting,1973,"Comedy,Crime,Drama",8.3,1,15.520258832020865,0,0,0,0,1,129
tt0070819,atouchofclass,1973,"Comedy,Romance",6.5,0,15.694594008094041,1,0,0,0,0,106
tt0071315,chinatown,1974,"Drama,Mystery,Thriller",8.1,0,15.607270193858982,0,1,1,0,0,130
tt0071360,theconversation,1974,"Drama,Mystery,Thriller",7.7,1,14.285514812209815,1,0,0,0,0,113
tt0071562,thegodfatherpartii,1974,"Crime,Drama",9.0,1,16.380459992348886,0,0,0,0,1,202
tt0071746,lenny,1974,"Biography,Drama",7.5,1,15.735797748696564,0,0,0,0,0,111
tt0072308,thetoweringinferno,1974,"Action,Drama,Thriller",7.0,0,16.454567959008102,2,0,0,0,0,165
tt0072684,barrylyndon,1975,"Adventure,Drama,War",8.1,0,16.213405921671733,0,0,0,0,0,185
tt0072890,dogdayafternoon,1975,"Biography,Crime,Drama",8.0,0,15.150511887854474,0,0,0,0,0,125
tt0073195,jaws,1975,"Adventure,Drama,Horror",8.1,0,16.012735246411598,0,0,0,0,0,124
tt0073440,nashville,1975,"Comedy,Drama,Music",7.6,0,14.603968372873895,0,0,0,0,0,160
tt0073486,oneflewoverthecuckoosnest,1975,Drama,8.7,1,14.914123179965662,0,1,1,0,1,133
tt0074119,allthepresidentsmen,1976,"Drama,History,Thriller",7.9,0,15.955576839107596,1,0,0,0,0,138
tt0074235,boundforglory,1976,"Biography,Drama,Music",7.2,0,15.498537012866658,0,0,0,0,0,147
tt0074958,network,1976,Drama,8.1,0,15.150511887854474,1,0,0,0,0,121
tt0075148,rocky,1976,"Drama,Sport",8.1,1,13.815511557963774,0,0,1,0,1,120
tt0075314,taxidriver,1976,"Crime,Drama",8.2,0,14.45736497045232,1,0,0,0,0,114
tt0075686,anniehall,1977,"Comedy,Romance",7.9,1,15.201805169084134,0,1,0,0,1,93
tt0076095,thegoodbyegirl,1977,"Comedy,Drama,Romance",7.4,0,15.596798895746073,0,0,0,1,0,111
tt0076245,julia,1977,Drama,7.1,1,15.596798895746073,3,1,0,0,0,117
tt0076759,starwars,1977,"Action,Adventure,Fantasy",8.6,0,16.213405921671733,1,0,0,0,0,121
tt0076843,theturningpoint,1977,"Drama,Music,Romance",6.8,0,15.596798895746073,1,0,1,0,0,119
tt0077362,cominghome,1978,"Drama,Romance,War",7.3,0,16.298033499929215,1,0,0,0,0,127
tt0077416,thedeerhunter,1978,"Drama,War",8.1,1,16.52356082573315,1,0,0,0,1,183
tt0077663,heavencanwait,1978,"Comedy,Fantasy,Romance",6.9,0,16.298033499929215,1,0,0,1,0,101
tt0077928,midnightexpress,1978,"Biography,Crime,Drama",7.5,0,14.648420115681892,0,0,1,0,0,121
tt0078444,anunmarriedwoman,1978,"Comedy,Drama,Romance",7.2,0,16.298033499929215,0,0,0,0,0,124
tt0078754,allthatjazz,1979,"Drama,Music,Musical",7.8,1,16.300417291085605,0,0,0,1,0,123
tt0078788,apocalypsenow,1979,"Drama,Mystery,War",8.4,1,17.265498135541893,2,0,0,0,0,147
tt0078902,breakingaway,1979,"Comedy,Drama,Sport",7.7,0,16.32103657658766,0,0,0,0,0,101
tt0079417,kramervskramer,1979,Drama,7.8,1,15.894952224644102,0,0,1,0,1,105
tt0079638,normarae,1979,Drama,7.3,0,16.32103657658766,0,0,0,0,0,114
tt0080009,tess,1980,"Drama,Romance",7.3,0,16.33141338891118,0,0,0,0,0,186
tt0080388,atlanticcity,1981,"Crime,Drama,Romance",7.3,0,15.789591722875162,1,0,0,0,0,104
tt0080549,coalminersdaughter,1980,"Biography,Drama,Music",7.5,0,16.33141338891118,0,0,0,1,0,124
tt0080678,theelephantman,1980,"Biography,Drama",8.2,0,15.424948670398354,2,1,0,0,0,124
tt0081283,ordinarypeople,1980,Drama,7.7,1,15.64006001130563,0,0,1,0,1,124
tt0081398,ragingbull,1980,"Biography,Drama,Sport",8.1,0,16.705882371415992,1,0,0,0,0,129
tt0082158,chariotsoffire,1981,"Biography,Drama,Sport",7.1,0,15.520258832020865,0,0,0,0,1,125
tt0082846,ongoldenpond,1981,Drama,7.6,0,16.37583392431678,5,0,1,0,0,109
tt0082971,raidersofthelostark,1981,"Action,Adventure",8.4,0,16.705882371415992,0,0,0,0,0,115
tt0082979,reds,1981,"Biography,Drama,History",7.3,1,16.37583392431678,2,0,0,0,0,195
tt0083866,ettheextraterrestrial,1982,"Adventure,Family,Sci-Fi",7.9,0,16.166885910365842,0,0,1,0,0,115
tt0083987,gandhi,1982,"Biography,Drama,History",8.0,1,16.906553056777135,2,1,0,0,1,191
tt0084335,missing,1982,"Biography,Drama,History",7.7,0,16.525041210804964,3,0,0,0,0,122
tt0084805,tootsie,1982,"Comedy,Drama,Romance",7.4,0,16.860033043306743,1,0,0,1,0,116
