year_film,averageRating,dir_won_before,budget,nb_actor_won_before,won_bafta,won_gg_drama,won_gg_comedy,runtimeMinutes,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,true_winner,pred_winner
1965,-0.3230846489376891,0,-0.05932502326026271,-0.6715317874761784,0,0,0,-0.2466378652557445,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1968,-0.15999728629645366,1,0.7926316434732691,-0.6715317874761784,0,0,0,0.8937894320551097,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,0.49235216426848405,0,-0.002353875867927262,1.427005048386879,0,1,0,0.30629658192527576,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1968,-0.15999728629645366,1,-0.002353875867927262,0.37773663045535033,0,0,1,0.9629062379527373,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1968,-0.6492593742201587,0,-0.002353875867927262,1.427005048386879,0,0,0,-0.8341307153855785,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1968,0.16617743898601448,0,-1.0692482335154774,-0.6715317874761784,0,0,0,0.4445301937205308,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1969,-0.15999728629645366,0,0.41694470083153234,-0.6715317874761784,0,1,0,0.6864390143622272,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1969,0.8185268895509537,0,0.22624053476451825,-0.6715317874761784,1,0,0,-0.5231050888462546,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,-0.8123467368613928,0,1.1722746321474544,1.427005048386879,0,0,0,0.720997417311041,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1969,0.49235216426848405,1,0.41694470083153234,-0.6715317874761784,1,0,0,-0.41942987999981335,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1969,0.9816142521921877,0,0.41694470083153234,-0.6715317874761784,0,0,0,0.0643877612835794,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1973,0.6554395269097195,0,0.19802780847151474,-0.6715317874761784,0,0,0,-1.1451563419249025,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,-0.15999728629645366,0,-1.1304823509969477,-0.6715317874761784,0,0,1,-0.5231050888462546,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,0.9816142521921877,1,0.6857271380035955,-0.6715317874761784,0,1,0,-0.10840425346048943,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1973,1.3077889774746587,1,0.1685607792636001,-0.6715317874761784,0,0,0,0.13350456718120693,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1973,-1.627783550067566,0,0.19802780847151474,0.37773663045535033,0,0,0,-0.6613387006415097,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1978,-0.3230846489376891,0,0.6280473774807159,0.37773663045535033,0,0,0,0.0643877612835794,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1978,0.9816142521921877,1,0.8336487915461178,0.37773663045535033,0,0,0,1.9996583264171504,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
1978,-0.9754340995026268,0,0.6280473774807159,0.37773663045535033,0,0,1,-0.8341307153855785,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1978,0.003090076344780414,0,-0.409380341669836,-0.6715317874761784,0,1,0,-0.1429626564093032,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,-0.4861720115789232,0,0.6280473774807159,-0.6715317874761784,0,0,0,-0.039287447562861906,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1979,0.49235216426848405,1,0.6857271380035955,-0.6715317874761784,0,0,1,-0.07384585051167566,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1979,1.4708763401158926,1,1.3254783839434425,1.427005048386879,0,0,0,0.7555558202598547,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1979,0.32926480162724997,0,0.564866348849896,-0.6715317874761784,0,0,0,-0.8341307153855785,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1979,0.49235216426848405,1,0.41694470083153234,-0.6715317874761784,0,1,0,-0.6958971035903234,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1979,-0.3230846489376891,0,0.564866348849896,-0.6715317874761784,0,0,0,-0.38487147705099956,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,-0.6492593742201587,0,0.41694470083153234,-0.6715317874761784,0,0,0,-0.6958971035903234,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,0.003090076344780414,0,0.9166193241112177,-0.6715317874761784,0,0,0,-0.2466378652557445,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,0.49235216426848405,0,1.2232920368995364,-0.6715317874761784,0,0,0,2.3452423559052877,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,-0.3230846489376891,0,0.9166193241112177,-0.6715317874761784,0,0,0,-1.1451563419249025,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1983,-0.15999728629645366,1,0.9166193241112177,0.37773663045535033,0,1,0,0.23717977602764823,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1985,0.32926480162724997,0,0.8336487915461178,-0.6715317874761784,0,0,0,0.9974646409015511,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,-0.3230846489376891,0,-0.692732450747386,-0.6715317874761784,0,0,0,-0.17752105935811696,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,-0.6492593742201587,1,1.314871772027896,1.427005048386879,0,1,0,1.2393734615432475,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1985,-1.3016088247850963,1,0.6857271380035955,1.427005048386879,0,0,1,0.1680629701300207,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,-0.3230846489376891,0,0.6857271380035955,-0.6715317874761784,0,0,0,-0.4539882829486271,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1989,-0.4861720115789232,1,0.9471028136227848,-0.6715317874761784,0,1,0,0.6864390143622272,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1989,0.9816142521921877,0,0.8928000281146737,-0.6715317874761784,1,0,0,0.09894616423239316,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,-0.3230846489376891,0,0.37416217725872436,-0.6715317874761784,0,0,1,-0.9032475212832061,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1989,0.003090076344780414,0,1.0210301647706055,0.37773663045535033,0,0,0,-0.6267802976926959,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0.49235216426848405,0,-1.3001401109205386,-0.6715317874761784,0,0,0,-0.765013909487951,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,0.49235216426848405,0,1.314871772027896,1.427005048386879,0,0,0,-0.1429626564093032,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,0.8185268895509537,1,1.0875340058296028,-0.6715317874761784,0,1,0,1.9305415205195227,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1990,-0.6492593742201587,0,1.0875340058296028,-0.6715317874761784,0,0,0,0.02982935833476563,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1990,0.16617743898601448,1,1.6827786831042906,0.37773663045535033,0,0,0,1.2739318644920612,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,1.9601384280395948,0,1.1722746321474544,1.427005048386879,1,0,0,0.6864390143622272,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,-0.4861720115789232,0,1.1722746321474544,-0.6715317874761784,0,0,0,-0.4539882829486271,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1992,0.32926480162724997,0,1.1722746321474544,1.427005048386879,0,0,0,0.4445301937205308,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1992,-0.15999728629645366,0,1.1722746321474544,1.427005048386879,1,0,0,0.5827638055157859,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
