tconst,film,year_film,runtimeMinutes,genres,winner
tt0030637,pygmalion,1938,89,"Comedy,Drama,Romance",False
tt0030848,testpilot,1938,119,"Drama,Romance",False
tt0030993,youcanttakeitwithyou,1938,126,"Comedy,Drama,Romance",True
tt0031210,darkvictory,1939,104,"Drama,Romance",False
tt0031381,gonewiththewind,1939,238,"Drama,Romance,War",True
tt0031385,goodbyemrchips,1939,114,"Drama,Romance",False
tt0031593,loveaffair,1939,88,"Comedy,Drama,Romance",False
tt0031679,mrsmithgoestowashington,1939,129,"Comedy,Drama",False
tt0031725,ninotchka,1939,110,"Comedy,Romance",False
tt0031742,ofmiceandmen,1939,106,"Adventure,Drama",False
tt0031971,stagecoach,1939,96,"Adventure,Drama,Western",False
tt0032138,thewizardofoz,1939,102,"Adventure,Family,Fantasy",False
tt0032145,wutheringheights,1939,104,"Drama,Romance",False
tt0032194,allthisandheaventoo,1940,141,"Drama,Romance",False
tt0032484,foreigncorrespondent,1940,120,"Action,Drama,Romance",False
tt0032551,thegrapesofwrath,1940,129,Drama,False
tt0032553,thegreatdictator,1940,125,"Comedy,Drama,War",False
tt0032671,kittyfoyle,1940,108,"Drama,Romance",False
tt0032701,theletter,1940,95,"Crime,Drama,Film-Noir",False
tt0032728,thelongvoyagehome,1940,105,"Drama,War",False
tt0032881,ourtown,1940,90,"Drama,Family,Romance",False
tt0032904,thephiladelphiastory,1940,112,"Comedy,Romance",False
tt0032976,rebecca,1940,130,"Drama,Mystery,Romance",True
tt0033407,blossomsinthedust,1941,99,"Biography,Drama,Romance",False
tt0033467,citizenkane,1941,119,"Drama,Mystery",False
tt0033712,herecomesmrjordan,1941,94,"Comedy,Fantasy,Romance",False
tt0033722,holdbackthedawn,1941,116,"Drama,Romance",False
tt0033729,howgreenwasmyvalley,1941,118,"Drama,Family",True
tt0033836,thelittlefoxes,1941,116,"Drama,Romance",False
tt0033870,themaltesefalcon,1941,100,"Crime,Drama,Film-Noir",False
tt0033980,onefootinheaven,1941,108,"Biography,Drama,Romance",False
tt0034167,sergeantyork,1941,134,"Biography,Drama,History",False
tt0034248,suspicion,1941,99,"Drama,Film-Noir,Mystery",False
tt0034946,kingsrow,1942,127,Drama,False
tt0035015,themagnificentambersons,1942,88,"Drama,Romance",False
tt0035093,mrsminiver,1942,134,"Drama,Romance,War",True
tt0035189,thepiedpiper,1942,87,"Drama,War",False
tt0035211,theprideoftheyankees,1942,128,"Biography,Drama,Romance",False
tt0035238,randomharvest,1942,126,"Drama,Romance",False
tt0035417,thetalkofthetown,1942,118,"Comedy,Drama,Romance",False
tt0035530,wakeisland,1942,88,"Action,Drama,War",False
tt0035575,yankeedoodledandy,1942,126,"Biography,Drama,Family",False
tt0034583,casablanca,1943,102,"Drama,Romance,War",True
tt0035896,forwhomthebelltolls,1943,170,"Adventure,Drama,History",False
tt0035979,heavencanwait,1943,112,"Comedy,Drama,Fantasy",False
tt0036022,thehumancomedy,1943,117,"Comedy,Drama,Family",False
tt0034891,inwhichweserve,1943,115,"Drama,War",False
tt0036126,madamecurie,1943,124,"Biography,Drama,Romance",False
tt0036172,themorethemerrier,1943,104,Comedy,False
tt0036244,theoxbowincident,1943,75,"Drama,Western",False
tt0036377,thesongofbernadette,1943,156,"Biography,Drama,Mystery",False
tt0036515,watchontherhine,1943,114,"Drama,Thriller",False
tt0036775,doubleindemnity,1944,107,"Crime,Drama,Film-Noir",False
tt0036855,gaslight,1944,114,"Crime,Drama,Mystery",False
tt0036872,goingmyway,1944,126,"Comedy,Drama,Music",True
tt0037280,sinceyouwentaway,1944,177,"Drama,Romance,War",False
tt0037465,wilson,1944,154,"Biography,Drama,History",False
tt0037514,anchorsaweigh,1945,140,"Comedy,Fantasy,Musical",False
tt0037536,thebellsofstmarys,1945,126,Drama,False
